siren,siret,denominationUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr�cise
301512489,30151248900024,,,96.02A,,17,,,,RUE,JULES GUESDE,33270,FLOIRAC,,,33167,,,,,331670987_B,421251.579000012,6420744.073808666,,A,,,96.02A,17 RUE JULES GUESDE 33270 FLOIRAC
301859666,30185966600010,EXARTIER FRANCIS ET MICHELE,,96.02A,,,,,,RUE,DE LA GRANDE FONTAINE,33330,SAINT-EMILION,,,33394,,,,,333940280_B,450873.7858318732,6426422.044888679,,A,,,96.02A, RUE DE LA GRANDE FONTAINE 33330 SAINT-EMILION
301903910,30190391000018,,,96.02A,,72,,,,RUE,DELALANDE,33500,LIBOURNE,,,33243,,,,,332430350_B,445160.92028809944,6429281.101921428,,A,,,96.02A,72 RUE DELALANDE 33500 LIBOURNE
303922660,30392266000038,,,96.02A,,69,,,,AVENUE,DE LA LIBERATION,33380,MIOS,,,33284,,,,,332840072_B,388402.01541084965,6397107.2058285745,,A,,,96.02A,69 AVENUE DE LA LIBERATION 33380 MIOS
305433534,30543353400032,,,96.02A,,6,,,,PLACE,DE LA REPUBLIQUE,33540,SAUVETERRE-DE-GUYENNE,,,33506,,,,,335060073_B,455556.6362391534,6404059.205944312,,A,COIFF'VIVIAN,,96.02A,6 PLACE DE LA REPUBLIQUE 33540 SAUVETERRE-DE-GUYENNE
309956787,30995678700027,,,96.02A,,98,B,,,AVENUE,GEORGES CLEMENCEAU,33400,TALENCE,,,33522,,,,,335221260_B,415650.84219905705,6418062.334903262,,A,,,96.02A,"98, B AVENUE GEORGES CLEMENCEAU 33400 TALENCE"
309992626,30999262600072,,,96.02A,CENTRE COMMERCIAL CHOISY LATOUR,,,,,,CENTRE COMMERCIAL DE CHOIS,33610,CESTAS,,,33122,,,,,331221032_C,,,,A,,,96.02A,CENTRE COMMERCIAL CHOISY LATOUR  CENTRE COMMERCIAL DE CHOIS 33610 CESTAS
311041156,31104115600010,,,96.02A,,35,B,,,RUE,SAINT-FRANCOIS,33000,BORDEAUX,,,33063,,,,,330638230_B,418024.10795360926,6421395.98172325,,A,,,96.02A,"35, B RUE SAINT-FRANCOIS 33000 BORDEAUX"
311938880,31193888000011,,,96.02A,,16,,,,RUE,EDMOND COSTEDOAT,33000,BORDEAUX,,,33063,,,,,330633050_B,417306.7798488108,6421099.250330806,,A,,,96.02A,16 RUE EDMOND COSTEDOAT 33000 BORDEAUX
314837907,31483790700059,,,96.02A,,8,,,,ALLEE,FABELLE,33200,BORDEAUX,,,33063,,,,,330633345_B,414895.52252742636,6423196.7306614695,,A,,,96.02A,8 ALLEE FABELLE 33200 BORDEAUX
317702256,31770225600031,,,96.02A,,24,,,,AVENUE,SAINT PAULIN,33130,BEGLES,,,33039,,,,,330391850_B,418503.49465319177,6418029.342699814,,A,,,96.02A,24 AVENUE SAINT PAULIN 33130 BEGLES
319986592,31998659200016,,,96.02A,,22,,,,LOTISSEMENT,MARTY,33750,BEYCHAC-ET-CAILLAU,,,33049,,,,,33049a095_B,433283.0670085754,6424858.76742458,,A,,,96.02A,22 LOTISSEMENT MARTY 33750 BEYCHAC-ET-CAILLAU
320196363,32019636300032,,,96.02A,,18,,,,AVENUE,DES DRAGONS DE L'IMPERATRICE,33127,MARTIGNAS-SUR-JALLE,,,33273,,,,,332730082_B,402330.8211476683,6422762.748307889,,A,,,96.02A,18 AVENUE DES DRAGONS DE L'IMPERATRICE 33127 MARTIGNAS-SUR-JALLE
321144982,32114498200014,,,96.02A,,8,,,,ROUTE,DE LESPARRE,33930,VENDAYS-MONTALIVET,,,33540,,,,,335400209_B,382491.1331301184,6481279.237011682,,A,,,96.02A,8 ROUTE DE LESPARRE 33930 VENDAYS-MONTALIVET
321307001,32130700100016,,,96.02A,,6,,,,COURS,DU PORT,33390,BLAYE,,,33058,,,,,330580340_B,412043.4228719949,6454094.705119812,,A,,,96.02A,6 COURS DU PORT 33390 BLAYE
323015933,32301593300019,ALARY GUY & DOUSSAUD GILLES,,96.02A,,6,,,,COURS,DU PORT,33390,BLAYE,,,33058,,,,,330580340_B,412043.4228719949,6454094.705119812,,A,,,96.02A,6 COURS DU PORT 33390 BLAYE
323484063,32348406300017,,,96.02A,,255,,,,RUE,PIERRE BROSSOLETTE,33230,COUTRAS,,,33138,,,,,331380775_B,453557.6970815904,6442727.929752862,,A,,,96.02A,255 RUE PIERRE BROSSOLETTE 33230 COUTRAS
323520957,32352095700024,,,96.02A,,240,,,,AVENUE,DE LA REPUBLIQUE,33000,BORDEAUX,,,33063,,,,,33063yymt_B,414626.78444297955,6422077.707696643,,A,,,96.02A,240 AVENUE DE LA REPUBLIQUE 33000 BORDEAUX
324423565,32442356500039,,,96.02A,,7,,,,RUE,BONTEMPS,33400,TALENCE,,,33522,,,,,335220350_B,417021.00397434307,6418047.27856673,,A,,,96.02A,7 RUE BONTEMPS 33400 TALENCE
324504554,32450455400035,,,96.02A,,76,,,,RUE,FAMATINA,33200,BORDEAUX,,,33063,,,,,330633380_B,415350.7320875095,6422731.402824835,,A,,OLIVIER COIFFURE,96.02A,76 RUE FAMATINA 33200 BORDEAUX
324982560,32498256000041,,,96.02A,,1,,,,LIEU DIT,BLANCHERIE,33230,MARANSIN,,,33264,,,,,33264proe_B,442246.8814581933,6448063.431562795,,A,,,96.02A,1 LIEU DIT BLANCHERIE 33230 MARANSIN
325270460,32527046000018,,,96.02A,,,,,,,,33820,BRAUD-ET-SAINT-LOUIS,,,33073,,,,,,,,,A,,,96.02A, 33820 BRAUD-ET-SAINT-LOUIS
325809010,32580901000037,,,96.02A,,165,,,,AV,DE LA LIBERATION,33110,LE BOUSCAT,,,33069,,,,,330691080_C,,,,A,,,96.02A,165 AV DE LA LIBERATION 33110 LE BOUSCAT
325848216,32584821600041,,,96.02A,,15,,,,RUE,PIERRE GEMIN,33490,CAUDROT,,,33111,,,,,331110055_B,450667.4800561803,6391494.154694993,,A,,,96.02A,15 RUE PIERRE GEMIN 33490 CAUDROT
326453321,32645332100035,,,96.02A,,5,,,,RUE,MARGAUX,33000,BORDEAUX,,,33063,,,,,330636042_B,417619.51799354824,6422103.192263681,,A,,,96.02A,5 RUE MARGAUX 33000 BORDEAUX
326722006,32672200600037,,,96.02A,,2,,,,AVENUE,DU MAHON,33190,LA REOLE,,,33352,,,,,333520965_B,459430.8211484365,6391741.980140501,,A,CAROLE DELVAL COIFFURE,,96.02A,2 AVENUE DU MAHON 33190 LA REOLE
327564852,32756485200025,,,96.02A,,15,,,,RUE,EDOUARD LALANNE,33260,LA TESTE-DE-BUCH,,,33529,,,,,335291000_B,371319.9948484976,6400685.339788909,,A,,,96.02A,15 RUE EDOUARD LALANNE 33260 LA TESTE-DE-BUCH
328288014,32828801400033,MARJORIE ET BERNARD COIFFURE,,96.02A,,8,,,,RUE,PAUL BERT,33530,BASSENS,,,33032,,,,,330320560_B,422490.933320205,6428565.742433513,,A,,,96.02A,8 RUE PAUL BERT 33530 BASSENS
329329478,32932947800013,,,96.02A,,73,,,,COURS,DE LA MARTINIQUE,33000,BORDEAUX,,,33063,,,,,330636115_B,417796.5893706984,6423679.653447912,,A,,,96.02A,73 COURS DE LA MARTINIQUE 33000 BORDEAUX
329612964,32961296400026,,,96.02A,,349,,,,AVENUE,D'EYSINES,33110,LE BOUSCAT,,,33069,,,,,330690590_B,414666.8718689298,6424485.501061731,,A,,,96.02A,349 AVENUE D'EYSINES 33110 LE BOUSCAT
330785882,33078588200029,,,96.02A,,6,,,,CHEMIN,DES TEMPLIERS,33450,SAINT-LOUBES,,,33433,,,,,334330935_B,426865.4959246774,6432144.254218234,,A,,,96.02A,6 CHEMIN DES TEMPLIERS 33450 SAINT-LOUBES
330904194,33090419400033,,,96.02A,LE BOURG,2,,,,RESIDENCE,LA PRAIRIE,33112,SAINT-LAURENT-MEDOC,,,33424,,,,,33424a015_B,399595.88103560434,6457132.635679649,,A,,,96.02A,LE BOURG 2 RESIDENCE LA PRAIRIE 33112 SAINT-LAURENT-MEDOC
331181875,33118187500021,SARL CHRIS COIFFURE,,96.02A,,,,,,RTE,NATIONALE,33820,ETAULIERS,,,33159,,,,,,,,,A,,,96.02A, RTE NATIONALE 33820 ETAULIERS
332647213,33264721300021,,,96.02A,,24,,,,ROUTE,DE BORDEAUX,33760,TARGON,,,33523,,,,,335239p5w_B,441076.86960904265,6410003.255928444,,A,COIFFURE,COIFFURE VERONIQUE,96.02A,24 ROUTE DE BORDEAUX 33760 TARGON
332917525,33291752500054,,,96.02A,,6,,,,ALLEE,DU BERRY,33510,ANDERNOS-LES-BAINS,,,33005,,,,,330050075_B,377870.85408017895,6412112.48758845,,A,VERONIQUE,VERONIQUE,96.02A,6 ALLEE DU BERRY 33510 ANDERNOS-LES-BAINS
332970193,33297019300014,,,96.02A,,39,,,,ROUTE,DE LA GARENGUE,33210,PREIGNAC,,,33337,,,,,333370032_B,438100.8,6393211.7,,A,,,96.02A,39 ROUTE DE LA GARENGUE 33210 PREIGNAC
333182384,33318238400052,,,96.02A,CTRE CIAL SAIGE FORMANOIR,,,,,RUE,DE L'HORLOGE,33600,PESSAC,,,33318,,,,,333181693_B,413143.20934105024,6416836.101540845,,A,ATELIER DE COUPE,,96.02A,CTRE CIAL SAIGE FORMANOIR  RUE DE L'HORLOGE 33600 PESSAC
333206993,33320699300011,,,96.02A,,5,,,,LD,LE LUGAT,33125,SAINT-MAGNE,,,33436,,,,,,,,,A,,,96.02A,5 LD LE LUGAT 33125 SAINT-MAGNE
333310183,33331018300012,,,96.02A,,107,,,,RUE,ABBE DE L'EPEE,33000,BORDEAUX,,,33063,,,,,330630015_B,416910.8635866556,6422611.094109986,,A,,,96.02A,107 RUE ABBE DE L'EPEE 33000 BORDEAUX
333765378,33376537800018,,,96.02A,,20,,,,AV,DU MAL DE LATTRE DE TASSIGNY,33470,GUJAN-MESTRAS,,,33199,,,,,331990512_B,373795.372459504,6401827.2200517375,,A,,,96.02A,20 AV DU MAL DE LATTRE DE TASSIGNY 33470 GUJAN-MESTRAS
334033156,33403315600012,,,96.02A,,39,,,,RUE,CHANZY,33500,LIBOURNE,,,33243,,,,,332430290_B,444556.3010973125,6429346.674040988,,A,,,96.02A,39 RUE CHANZY 33500 LIBOURNE
334114071,33411407100023,,,96.02A,,93,,,,RUE,MONDENARD,33000,BORDEAUX,,,33063,,,,,330636445_B,416439.1472608176,6422820.438866121,,A,,LIND'COIFFURE,96.02A,93 RUE MONDENARD 33000 BORDEAUX
334293172,33429317200014,,,96.02A,RES PLEIN SOLEIL,40,,,,RUE,DE CHAMBERY,33140,VILLENAVE-D'ORNON,,,33550,,,,,335500245_B,417954.03855989256,6413568.374029466,,A,,,96.02A,RES PLEIN SOLEIL 40 RUE DE CHAMBERY 33140 VILLENAVE-D'ORNON
334405644,33440564400025,,,96.02A,RES PHEDRE APP 506 ENT B,,,,,RUE,HENRI DE TOULOUSE LAUTREC,33400,TALENCE,,,33522,,,,,335221344_B,416325.41646904626,6416775.655922953,,A,,,96.02A,RES PHEDRE APP 506 ENT B  RUE HENRI DE TOULOUSE LAUTREC 33400 TALENCE
334759750,33475975000022,,,96.02A,,298,,,,ROUTE,DE L’ECLOP,33390,EYRANS,,,33161,,,,,331610180_B,416629.9863546051,6460723.899286293,,A,EN TETE A TETE,,96.02A,298 ROUTE DE L’ECLOP 33390 EYRANS
334903390,33490339000022,,,96.02A,,1200,,,,CHEMIN,DE PEYROT,33240,SAINT-ANDRE-DE-CUBZAC,,,33366,,,,,333660818_B,426747.9023283819,6440085.165121659,,A,CELIN'COIFF,,96.02A,1200 CHEMIN DE PEYROT 33240 SAINT-ANDRE-DE-CUBZAC
335191839,33519183900018,,,96.02A,,46,,,,RUE,MARC TALLAVI,33310,LORMONT,,,33249,,,,,332490520_B,421688.63238831476,6426164.942432996,,A,,,96.02A,46 RUE MARC TALLAVI 33310 LORMONT
335191839,33519183900026,,,96.02A,,34,,,,RUE,MARC TALLAVI,33310,LORMONT,,,33249,,,,,332490520_B,421665.17819834914,6426130.079290126,,A,,,96.02A,34 RUE MARC TALLAVI 33310 LORMONT
335210936,33521093600027,,,96.02A,,46,,,,RUE,MARC TALLAVI,33310,LORMONT,,,33249,,,,,332490520_B,421688.63238831476,6426164.942432996,,A,,,96.02A,46 RUE MARC TALLAVI 33310 LORMONT
337522320,33752232000049,,,96.02A,,24,,,,LIEU DIT,JEAN LARC,33420,LUGAIGNAC,,,33257,,,,,33257gqg1_B,447274.1260429699,6417787.770296331,,A,,,96.02A,24 LIEU DIT JEAN LARC 33420 LUGAIGNAC
337543201,33754320100020,,,96.02A,,40,,,,RUE,DU PIN FRANC,33210,TOULENNE,,,33533,,,,,335330053_B,440838.8830807572,6389190.72282874,,A,,,96.02A,40 RUE DU PIN FRANC 33210 TOULENNE
338335573,33833557300030,,,96.02A,PORTE 27,18,,,,RUE,DES FRAISIERS CLOS MASCARET,33240,SAINT-GERVAIS,,,33415,,,,,,,,,A,,,96.02A,PORTE 27 18 RUE DES FRAISIERS CLOS MASCARET 33240 SAINT-GERVAIS
338350820,33835082000019,,,96.02A,,,,,,RUE,JEAN ACHARD,33230,ABZAC,,,33001,,,,,330010065_B,453646.2347229153,6439963.198171482,,A,,,96.02A, RUE JEAN ACHARD 33230 ABZAC
338414394,33841439400027,,,96.02A,,24,,,,RUE,DU 8 MAI 1945,33640,PORTETS,,,33334,,,,,333340035_B,428819.521153674,6405099.894067652,,A,SALON FIGARO,,96.02A,24 RUE DU 8 MAI 1945 33640 PORTETS
338711922,33871192200025,,,96.02A,,7,,,,IMPASSE,DE VALENTIN,33470,GUJAN-MESTRAS,,,33199,,,,,331990842_B,377254.88408740313,6399941.293171995,,A,,,96.02A,7 IMPASSE DE VALENTIN 33470 GUJAN-MESTRAS
338831746,33883174600015,PHILIPPE B,,96.02A,,1,,,,ALLEE,PETITE SAVOIE,33140,VILLENAVE-D'ORNON,,,33550,,,,,335501363_B,416895.5798912656,6414231.600281319,,A,,,96.02A,1 ALLEE PETITE SAVOIE 33140 VILLENAVE-D'ORNON
338864572,33886457200015,STYL 33,,96.02A,GAL MARCH AUCHAN LE LAC,,,,,AVENUE,ANDRE REINSON,33300,BORDEAUX,,,33063,,,,,330630304_B,418059.9319121642,6426253.294047832,,A,,,96.02A,GAL MARCH AUCHAN LE LAC  AVENUE ANDRE REINSON 33300 BORDEAUX
339698607,33969860700043,,,96.02A,RES LE FORUM,,,,,RUE,DE TANAYS,33185,LE HAILLAN,,,33200,,,,,332000733_B,409838.1095006193,6425514.285007954,,A,FORUM PASSION LE SALON DE SABINE,FORUM PASSION LE SALON DE SABINE,96.02A,RES LE FORUM  RUE DE TANAYS 33185 LE HAILLAN
340549435,34054943500030,,,96.02A,,8,,,,RUE,DE LA POSTE,33990,HOURTIN,,,33203,,,,,332030176_B,381424.58766951156,6462334.359035467,,A,CLAUDE 2 C,,96.02A,8 RUE DE LA POSTE 33990 HOURTIN
340805076,34080507600015,,,96.02A,,7,,,,LOTISSEMENT,DU PRE D’AUDON,33670,LA SAUVE,,,33505,,,,,33505a042_B,437707.52622445486,6412532.035846774,,A,,,96.02A,7 LOTISSEMENT DU PRE D’AUDON 33670 LA SAUVE
341056976,34105697600028,TEMPO'HALLES,,96.02A,,51,,,,COURS,LAMARQUE DE PLAISANCE,33120,ARCACHON,,,33009,,,,,330091270_B,369344.39926306857,6404538.913064003,,A,,,96.02A,51 COURS LAMARQUE DE PLAISANCE 33120 ARCACHON
341311850,34131185000042,,,96.02A,,9,,,,AVENUE,DE L’ENTRE DEUX MERS,33370,POMPIGNAC,,,33330,,,,,333300018_B,428316.80515419453,6422650.946072482,,A,LYDIE COIFFURE,,96.02A,9 AVENUE DE L’ENTRE DEUX MERS 33370 POMPIGNAC
341769263,34176926300029,,,96.02A,,2,,,,RUE,FENELON,33000,BORDEAUX,,,33063,,,,,330633445_B,417306.69386222545,6422363.866938163,,A,GERANT DE LA SARL GF GRANDS HOMMES,,96.02A,2 RUE FENELON 33000 BORDEAUX
342480597,34248059700018,,,96.02A,,32,,,,AVENUE,DE SAINT-MEDARD,33700,MERIGNAC,,,33281,,,,,332812630_B,412452.86209234997,6424616.854166622,,A,,,96.02A,32 AVENUE DE SAINT-MEDARD 33700 MERIGNAC
342980737,34298073700148,CARPY SAS,,96.02A,,24,,,,PLACE,GAMBETTA,33000,BORDEAUX,,,33063,,,,,330633810_B,417096.69198539894,6422116.669483692,,A,CARPY COIFFURE,,96.02A,24 PLACE GAMBETTA 33000 BORDEAUX
343161204,34316120400015,,,96.02A,,6,,,,RUE,DES MOUETTES,33160,SAINT-AUBIN-DE-MEDOC,,,33376,,,,,333760485_B,405798.6628551406,6431182.398122018,,A,,,96.02A,6 RUE DES MOUETTES 33160 SAINT-AUBIN-DE-MEDOC
343304358,34330435800025,,,96.02A,,10,,,,,BERANGER,33580,NEUFFONS,,,33304,,,,,33304B004_C,,,,A,,COIFFDOM,96.02A,10 BERANGER 33580 NEUFFONS
343323937,34332393700064,,,96.02A,ETAGE 00,16,,,,CHEMIN,DE TERREFORT,33240,SAINT-ANDRE-DE-CUBZAC,,,33366,,,,,333660970_B,427868.637886701,6438305.947751257,,A,,,96.02A,ETAGE 00 16 CHEMIN DE TERREFORT 33240 SAINT-ANDRE-DE-CUBZAC
343528758,34352875800034,,,96.02A,,31,,,,RUE,MARECHAL GALLIENI,33200,BORDEAUX,,,33063,,,,,330635985_B,413807.8192512855,6422332.0692737,,A,,,96.02A,31 RUE MARECHAL GALLIENI 33200 BORDEAUX
344155122,34415512200015,,,96.02A,,42,,,,AVENUE,VICTOR HUGO,33530,BASSENS,,,33032,,,,,330320667_B,422934.2017420211,6429130.021617592,,A,,,96.02A,42 AVENUE VICTOR HUGO 33530 BASSENS
344172721,34417272100021,ANTOINE COIFFURE,,96.02A,,5,,,,PLACE,DE LA CITADELLE,33390,BLAYE,,,33058,,,,,330580080_B,412069.49253105256,6454134.075694406,,A,,,96.02A,5 PLACE DE LA CITADELLE 33390 BLAYE
345146252,34514625200019,MERIGNAC COIFFURE SARL,,96.02A,,474,,,,AVENUE,DE VERDUN,33700,MERIGNAC,,,33281,,,,,332812760_B,412084.3038529178,6422443.2407676205,,A,,,96.02A,474 AVENUE DE VERDUN 33700 MERIGNAC
345157994,34515799400020,,,96.02A,,12,,,,RUE,JENNY LEPREUX,33000,BORDEAUX,,,33063,,,,,330634720_B,414656.3729688811,6421343.188009096,,A,,,96.02A,12 RUE JENNY LEPREUX 33000 BORDEAUX
345199939,34519993900025,,,96.02A,,7,B,,,CHEMIN,DE GALARD,33760,CESSAC,,,33121,,,,,331210045_B,448307.31587903557,6409541.506366852,,A,,,96.02A,"7, B CHEMIN DE GALARD 33760 CESSAC"
347660912,34766091200036,,,96.02A,,11,,,,RUE,DE L'EGLISE,33410,BEGUEY,,,33040,,,,,330400093_B,436006.7771134144,6399737.156704939,,A,,,96.02A,11 RUE DE L'EGLISE 33410 BEGUEY
347993206,34799320600023,,,96.02A,,,,,,,LA FOUGERE,33390,CARS,,,33100,,,,,33100B082_C,,,,A,,,96.02A, LA FOUGERE 33390 CARS
347993206,34799320600049,,,96.02A,,9,,,,,LE COUDEAU,33390,CARS,,,33100,,,,,33100B047_C,,,,A,,,96.02A,9 LE COUDEAU 33390 CARS
348048901,34804890100022,,,96.02A,,1,,,,COURS,DE LA LIBERATION,33000,BORDEAUX,,,33063,,,,,330635515_B,416803.0818299835,6421347.593373235,,A,,,96.02A,1 COURS DE LA LIBERATION 33000 BORDEAUX
348544537,34854453700023,,,96.02A,,3,,,,CHEMIN,DU TRONC,33380,BIGANOS,,,33051,,,,,330510368_B,383751.37507704867,6404484.606801258,,A,,,96.02A,3 CHEMIN DU TRONC 33380 BIGANOS
348638875,34863887500016,,,96.02A,,22,,,,RUE,DU CENTRE,33250,SAINT-SAUVEUR,,,33471,,,,,334710013_B,399022.28734682506,6463198.796022484,,A,,,96.02A,22 RUE DU CENTRE 33250 SAINT-SAUVEUR
348667130,34866713000010,GUY ABADIE COIFFURE,,96.02A,,5,,,,AVENUE,DU MARECHAL LECLERC,33140,VILLENAVE-D'ORNON,,,33550,,,,,335500497_B,417845.2088958763,6415516.605452767,,A,,,96.02A,5 AVENUE DU MARECHAL LECLERC 33140 VILLENAVE-D'ORNON
349023028,34902302800021,[ND],[ND],96.02A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LEOGNAN,,[ND],33238,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02A, LEOGNAN
349281006,34928100600024,COIFFURE STRUCTURE,,96.02A,,8,,,,RUE,PIERRE DE BRACH,33450,MONTUSSAN,,,33293,,,,,332930155_C,,,,A,,,96.02A,8 RUE PIERRE DE BRACH 33450 MONTUSSAN
349631531,34963153100028,,,96.02A,,40,,,,COURS,DES FOSSES,33210,LANGON,,,33227,,,,,332270560_B,442088.16437992716,6389363.200529713,,A,,,96.02A,40 COURS DES FOSSES 33210 LANGON
349640078,34964007800052,,,96.02A,,21,,,,CHEMIN,DES ARROUILS,33430,BAZAS,,,33036,,,,,330360422_B,441438.3828485812,6375941.2030831,,A,,,96.02A,21 CHEMIN DES ARROUILS 33430 BAZAS
349711911,34971191100058,,,96.02A,,,,,,ROUTE,DE L’ARUAN,33640,BEAUTIRAN,,,33037,,,,,330370100_B,426794.2146286528,6406079.214293116,,A,,EXOTERRA LES CHEVEUX AU NATUREL,96.02A, ROUTE DE L’ARUAN 33640 BEAUTIRAN
349871319,34987131900035,,,96.02A,,70,,,,DOMAINE,DU BOIS DE CHARTRES,33760,TARGON,,,33523,,,,,33523a007_B,439969.1314609939,6410816.01800175,,A,,,96.02A,70 DOMAINE DU BOIS DE CHARTRES 33760 TARGON
350311957,35031195700012,,,96.02A,,,,,,ROUTE,DE TARGON,33550,PAILLET,,,33311,,,,,333110070_B,433846.2022892693,6404414.002066818,,A,,,96.02A, ROUTE DE TARGON 33550 PAILLET
350462743,35046274300021,,,96.02A,RES LE SULKY  BAT 5   APPT 81,55,,,,AVENUE,DE L'HIPPODROME,33320,EYSINES,,,33162,,,,,331620295_B,413648.60434134514,6426075.703851212,,A,ALLO COIFFURE,,96.02A,RES LE SULKY  BAT 5   APPT 81 55 AVENUE DE L'HIPPODROME 33320 EYSINES
350720629,35072062900038,,,96.02A,,4,,,,LD,MEOU,33690,SENDETS,,,33511,,,,,,,,,A,,,96.02A,4 LD MEOU 33690 SENDETS
350801585,35080158500042,,,96.02A,,3,B,,,RUE,DE NAUJAC,33930,VENDAYS-MONTALIVET,,,33540,,,,,335400279_B,375010.16,6483884.22,,A,,LE SALON DE VERO,96.02A,"3, B RUE DE NAUJAC 33930 VENDAYS-MONTALIVET"
350992848,35099284800027,EXPRESSION AP SARL,,96.02A,,258,,,,COURS,DE LA SOMME,33800,BORDEAUX,,,33063,,,,,330638705_B,417699.2907745546,6419907.578425132,,A,,,96.02A,258 COURS DE LA SOMME 33800 BORDEAUX
351003579,35100357900049,SARL COIFFURE 2000,,96.02A,CTRE CIAL LA GRAVETTE,,,,,,LA GRAVETTE,33270,FLOIRAC,,,33167,,,,,33167B039_C,,,,A,,,96.02A,CTRE CIAL LA GRAVETTE  LA GRAVETTE 33270 FLOIRAC
351153952,35115395200012,JD GAMBETTA,,96.02A,,20,,,,COURS,GEORGES CLEMENCEAU,33000,BORDEAUX,,,33063,,,,,330633985_B,417254.22090663604,6422335.337680457,,A,DESSANGE,,96.02A,20 COURS GEORGES CLEMENCEAU 33000 BORDEAUX
351669338,35166933800060,,,96.02A,,12,,,,AVENUE,DE CHAVAILLES,33520,BRUGES,,,33075,,,,,330750085_B,417403.5913327702,6425945.48243223,,A,,YICONCEPT COIFFURE,96.02A,12 AVENUE DE CHAVAILLES 33520 BRUGES
351768395,35176839500029,,,96.02A,,,,,,LD,LES GRANGES N 1,33350,PUJOLS,,,33344,,,,,,,,,A,,,96.02A, LD LES GRANGES N 1 33350 PUJOLS
351794722,35179472200022,,,96.02A,,33,,,,PLACE,ERNEST BARRAUD,33230,COUTRAS,,,33138,,,,,331380205_B,453600.5893953539,6442750.348283569,,A,PETIT SALON,,96.02A,33 PLACE ERNEST BARRAUD 33230 COUTRAS
351866793,35186679300034,,,96.02A,,15,,,,AVENUE,DU GENERAL DE GAULLE,33350,SAINT-MAGNE-DE-CASTILLON,,,33437,,,,,334372190_B,458501.3251087291,6422589.471531764,,A,,,96.02A,15 AVENUE DU GENERAL DE GAULLE 33350 SAINT-MAGNE-DE-CASTILLON
351926936,35192693600029,CGR CHARTRONS,,96.02A,,89,,,,RUE,NOTRE DAME,33000,BORDEAUX,,,33063,,,,,330636745_B,417985.44347538543,6423412.269304696,,A,,,96.02A,89 RUE NOTRE DAME 33000 BORDEAUX
352155022,35215502200010,,,96.02A,CTRE CCIAL CHAMPION,,,,,RUE,JULES FERRY,33350,CASTILLON-LA-BATAILLE,,,33108,,,,,33108m2qbch_B,459444.3518189074,6421745.039021044,,A,,,96.02A,CTRE CCIAL CHAMPION  RUE JULES FERRY 33350 CASTILLON-LA-BATAILLE
352168942,35216894200055,GEKADE,,96.02A,,15,,,,BOULEVARD,DE LA PLAGE,33120,ARCACHON,,,33009,,,,,330091850_B,371261.02728275437,6403994.460016603,,A,,LES DEMOISELLES DE L'AIGUILLON,96.02A,15 BOULEVARD DE LA PLAGE 33120 ARCACHON
352462501,35246250100011,,,96.02A,,122,,,,COURS,MARECHAL JUIN,33000,BORDEAUX,,,33063,,,,,330635998_B,416499.14831794,6421457.804877566,,A,,,96.02A,122 COURS MARECHAL JUIN 33000 BORDEAUX
352462501,35246250100037,,,96.02A,,4,,,,RUE,DE L'EGLISE,33200,BORDEAUX,,,33063,,,,,330633095_B,414547.4232021789,6423500.525759039,,A,SALON BERNARD GASSIES,,96.02A,4 RUE DE L'EGLISE 33200 BORDEAUX
353125495,35312549500013,,,96.02A,,144,,,,RUE,PASTEUR,33200,BORDEAUX,,,33063,,,,,330636975_B,414896.42803663696,6422685.677655497,,A,,,96.02A,144 RUE PASTEUR 33200 BORDEAUX
353532773,35353277300010,MORGANE,,96.02A,,181,,,,AVENUE,VICTOR HUGO,33110,LE BOUSCAT,,,33069,,,,,330691700_B,416421.9568801679,6425251.048869364,,A,,,96.02A,181 AVENUE VICTOR HUGO 33110 LE BOUSCAT
353804834,35380483400052,SARL METAMORPHOSE,,96.02A,,69,,,,RUE,VICTOR BILLON,33110,LE BOUSCAT,,,33069,,,,,330691690_B,415748.81840051897,6423953.507839692,,A,,HERVE TAUBY,96.02A,69 RUE VICTOR BILLON 33110 LE BOUSCAT
354011751,35401175100022,,,96.02A,,52,,,,AVENUE,DU VALLON,33700,MERIGNAC,,,33281,,,,,332812740_B,413603.32078931323,6419837.846885048,,A,,,96.02A,52 AVENUE DU VALLON 33700 MERIGNAC
377671664,37767166400011,,,96.02A,,15,,,,RUE,DU MOULINEAU,33170,GRADIGNAN,,,33192,,,,,331927915_B,414610.65673887276,6414471.089960896,,A,,,96.02A,15 RUE DU MOULINEAU 33170 GRADIGNAN
